,Aircraft,Type Of Traveller,Trip Verified,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
797,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
798,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
799,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
800,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
801,NA,Family Leisure,No,Business Class,Bangkok to Los Angeles via Manila,2022-08-01,2.0,2.0,1.0,1.0,1.0,1,1.0,no
802,NA,Solo Leisure,Yes,Economy Class,San Francisco to Manila,2022-08-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
803,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2022-08-01,1.0,1.0,1.0,1.0,2.0,1,1.0,no
804,A321,Business,Yes,Economy Class,Manila to Jakarta,2022-05-01,4.0,5.0,5.0,4.0,2.0,5,0.0,yes
805,NA,Solo Leisure,Yes,Economy Class,Manilla to Laoag International Airport,2022-07-01,4.0,5.0,4.0,0.0,3.0,5,0.0,yes
806,NA,Solo Leisure,Yes,Economy Class,Melbourne to Cebu via Manila,2022-07-01,2.0,4.0,3.0,3.0,2.0,2,1.0,no
807,Boeing 777,Solo Leisure,Yes,Economy Class,Los Angeles to Cebu via Manila,2022-04-01,3.0,4.0,3.0,3.0,1.0,1,3.0,no
808,NA,Solo Leisure,No,Economy Class,Sydney to Jakarta via Manila,2022-07-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
809,Boeing 777-200ER,Couple Leisure,Yes,Business Class,Manila to Los Angeles,2022-07-01,2.0,4.0,4.0,2.0,1.0,1,1.0,no
810,A330,Business,Yes,Economy Class,Incheon via Manila,2019-08-01,1.0,4.0,3.0,0.0,2.0,3,0.0,no
811,A330-300,Solo Leisure,Yes,Economy Class,Manila to Riyadh,2019-06-01,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
812,A330-300,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2019-06-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
813,NA,Solo Leisure,Yes,Economy Class,New York to Manila,2019-09-01,3.0,5.0,3.0,4.0,1.0,3,0.0,no
814,NA,Solo Leisure,Yes,Economy Class,Philippines to Toronto ,2019-04-01,1.0,1.0,2.0,3.0,1.0,1,2.0,no
815,A321-231,Couple Leisure,Yes,Economy Class,Manila to Cebu,2019-02-01,4.0,5.0,3.0,0.0,4.0,5,0.0,yes
816,NA,Solo Leisure,Yes,Economy Class,Dubai to Hong Kong via Manila,2019-05-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
817,A330-343,Solo Leisure,Yes,Business Class,Dubai to Manila,2019-01-01,4.0,5.0,4.0,2.0,4.0,4,0.0,yes
818,A321-200,Business,Yes,Economy Class,Cebu to Manila,2019-08-01,3.0,3.0,0.0,0.0,1.0,2,0.0,no
819,Q400,Couple Leisure,Yes,Premium Economy,Cebu to Caticlan,2019-06-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
820,Boeing 777 300ER,Family Leisure,Yes,Economy Class,Kuala Lumpur to Vancouver via Manila,2019-07-01,3.0,5.0,5.0,5.0,1.0,5,0.0,yes
821,NA,Solo Leisure,No,Economy Class,Bangkok to Manila,2019-07-01,1.0,1.0,1.0,1.0,2.0,2,2.0,no
822,NA,Couple Leisure,Yes,Economy Class,Vancouver to Singapore via Manila,2019-07-01,3.0,1.0,3.0,3.0,1.0,1,0.0,no
823,NA,Couple Leisure,No,Economy Class,Dumaguete to Manila,2019-07-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
824,A321,Business,Yes,Economy Class,Manila to Singapore ,2019-07-01,3.0,1.0,3.0,0.0,1.0,1,0.0,no
825,A350,Solo Leisure,Yes,Business Class,London to Manila,2019-06-01,4.0,5.0,3.0,4.0,4.0,4,0.0,yes
826,NA,Solo Leisure,Yes,Economy Class,Manila to Iloilo,2019-06-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
827,Boeing 777-300ER,Solo Leisure,Yes,Economy Class,San Francisco to Manila,2019-06-01,5.0,5.0,5.0,3.0,5.0,4,5.0,yes
828,NA,Solo Leisure,Yes,Economy Class,Bangkok to London via Manila ,2019-08-01,4.0,3.0,1.0,5.0,3.0,2,2.0,no
829,NA,Solo Leisure,Yes,Economy Class,Brisbane to Manila,2019-06-01,4.0,5.0,3.0,4.0,2.0,3,0.0,no
830,A321 / A330,Solo Leisure,Yes,Economy Class,Legazpi to Riyadh via Manila,2019-08-01,4.0,5.0,5.0,4.0,5.0,4,4.0,yes
831,NA,Solo Leisure,Yes,Business Class,Singapore to Vancouver via Manila,2019-08-01,3.0,4.0,3.0,1.0,2.0,3,1.0,no
832,NA,Couple Leisure,No,Economy Class,Manila to New York,2019-08-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
833,A350,Family Leisure,Yes,Economy Class,London to Manila,2019-08-01,5.0,5.0,4.0,3.0,5.0,5,0.0,yes
834,NA,Solo Leisure,Yes,Economy Class,Manila to Toronto,2019-08-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
835,NA,Couple Leisure,Yes,Economy Class,Siargao to Cebu,2019-08-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
836,NA,Family Leisure,Yes,Economy Class,Bangkok to Toronto via Manila,2019-07-01,5.0,5.0,5.0,5.0,1.0,5,5.0,yes
837,NA,Solo Leisure,No,Economy Class,Cebu to Clark,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
838,NA,Family Leisure,Yes,Economy Class,Manila to Cebu,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
839,Boeing 777,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-11-01,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
840,NA,Couple Leisure,Yes,Economy Class,Dubai to Manila,2019-11-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
841,Boeing 777,Couple Leisure,Yes,Business Class,Manila to San Francisco,2019-11-01,5.0,5.0,5.0,4.0,4.0,4,4.0,yes
842,A320,Solo Leisure,No,Economy Class,Dumaguete to Manila,2019-11-01,2.0,3.0,2.0,0.0,2.0,2,0.0,no
843,NA,Couple Leisure,Yes,Economy Class,Manila to Melbourne ,2019-09-01,3.0,4.0,3.0,4.0,3.0,4,0.0,yes
844,NA,Solo Leisure,Yes,Economy Class,Honolulu to Manila,2019-11-01,3.0,1.0,1.0,3.0,3.0,2,3.0,no
845,NA,Business,Yes,Economy Class,Bangkok to Manila,2019-10-01,4.0,4.0,3.0,5.0,5.0,5,0.0,yes
846,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
847,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
848,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
849,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
850,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
851,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
852,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
853,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
854,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
855,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-12-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
856,NA,Family Leisure,Yes,Economy Class,Toronto to Manila via Vancouver,2021-12-01,3.0,4.0,3.0,4.0,2.0,1,0.0,no
857,NA,Couple Leisure,Yes,Economy Class,London to Manila,2020-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
858,NA,Solo Leisure,Yes,Business Class,Melbourne to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
859,NA,Family Leisure,No,Economy Class,Toronto to Kuala Lumpur via Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
860,NA,Solo Leisure,Yes,Economy Class,Vancouver to Manila,2020-07-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
861,NA,Solo Leisure,Yes,Economy Class,Dammam to Manila,2020-11-01,3.0,3.0,3.0,3.0,3.0,3,3.0,no
862,NA,Solo Leisure,Yes,Economy Class,Manila to Brisbane,2020-12-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
863,NA,Solo Leisure,Yes,Economy Class,Tokyo Narita to Cebu,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
864,A321neo,Family Leisure,Yes,Economy Class,Melbourne to Manila,2022-05-01,4.0,2.0,2.0,3.0,5.0,4,2.0,yes
865,A321,Business,Yes,Economy Class,Jakarta to Manila,2022-06-01,1.0,4.0,2.0,1.0,2.0,1,1.0,no
866,NA,Business,Yes,Economy Class,Manila to Ho Chi Minh City,2021-11-01,3.0,5.0,2.0,2.0,1.0,1,1.0,no
867,A320,Solo Leisure,Yes,Economy Class,Manila to Panglao,2022-05-01,4.0,5.0,3.0,0.0,5.0,5,0.0,yes
868,NA,Couple Leisure,Yes,Business Class,Los Angeles to Australia via Manila,2022-05-01,5.0,5.0,5.0,3.0,1.0,3,1.0,no
869,NA,Business,No,First Class,Los Angeles to Hong Kong via Manila,2022-05-01,3.0,1.0,1.0,1.0,2.0,2,2.0,no
870,Boeing 777 / A330 ,Family Leisure,No,Economy Class,Chicago to Manila,2022-04-01,2.0,3.0,3.0,3.0,1.0,2,0.0,no
871,DHC-8 Dash 8,Solo Leisure,Yes,Economy Class,Legazpi to Manila,2022-05-01,5.0,5.0,4.0,0.0,5.0,5,0.0,yes
872,A320,Family Leisure,Yes,Economy Class,Manila to Caticlan (Boracay),2022-05-01,4.0,4.0,3.0,0.0,5.0,5,0.0,yes
873,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2021-04-01,4.0,4.0,4.0,0.0,5.0,5,0.0,yes
874,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
875,NA,Business,Yes,Economy Class,Manila to Sydney,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
876,NA,Solo Leisure,Yes,Business Class,San Francisco to Manila,2020-05-01,2.0,3.0,0.0,0.0,1.0,1,0.0,no
877,NA,Solo Leisure,No,Economy Class,Cebu to Tacloban,2021-03-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
878,Boeing 777,Family Leisure,Yes,Economy Class,Manila to Toronto,2021-02-01,1.0,3.0,2.0,2.0,1.0,2,3.0,no
879,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2020-02-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
880,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2020-12-01,5.0,5.0,4.0,5.0,5.0,5,0.0,yes
881,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2020-04-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
882,A320,Solo Leisure,Yes,Economy Class,Cebu to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
883,Boeing 777,Solo Leisure,Yes,Business Class,Los Angeles to Manila,2020-09-01,4.0,5.0,1.0,2.0,2.0,2,1.0,no
884,NA,Couple Leisure,Yes,Economy Class,Bangkok to London via Manila,2020-03-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
885,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2019-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
886,A330,Solo Leisure,No,Economy Class,Riyadh to Manila,2020-01-01,3.0,5.0,5.0,0.0,5.0,5,4.0,yes
887,A330-300,Business,Yes,Economy Class,Melbourne to Manila,2020-01-01,4.0,5.0,5.0,4.0,2.0,5,4.0,yes
888,NA,Solo Leisure,Yes,Economy Class,London to Kuala Lumpur via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
889,NA,Solo Leisure,Yes,Economy Class,Manila to Bacolod,2020-02-01,4.0,4.0,0.0,0.0,1.0,3,0.0,no
890,NA,Family Leisure,Yes,Economy Class,San Francisco to Osaka via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
